"sex","birth_year","patient_count"
"F",1905,1
"F",1907,2
"F",1910,6
"F",1911,2
"F",1912,4
"F",1913,7
"F",1914,10
"F",1915,8
"F",1916,8
"F",1917,11
"F",1918,18
"F",1919,23
"F",1920,33
"F",1921,38
"F",1922,57
"F",1923,68
"F",1924,106
"F",1925,113
"F",1926,128
"F",1927,146
"F",1928,196
"F",1929,200
"F",1930,256
"F",1931,264
"F",1932,322
"F",1933,348
"F",1934,372
"F",1935,519
"F",1936,511
"F",1937,626
"F",1938,737
"F",1939,755
"F",1940,843
"F",1941,1024
"F",1942,1016
"F",1943,865
"F",1944,981
"F",1945,989
"F",1946,1216
"F",1947,1394
"F",1948,1515
"F",1949,1784
"F",1950,1672
"F",1951,1779
"F",1952,1831
"F",1953,1840
"F",1954,2007
"F",1955,2047
"F",1956,2172
"F",1957,2213
"F",1958,2213
"F",1959,2327
"F",1960,2378
"F",1961,2559
"F",1962,2508
"F",1963,2404
"F",1964,2530
"F",1965,2395
"F",1966,2419
"F",1967,2555
"F",1968,2635
"F",1969,2747
"F",1970,2911
"F",1971,2838
"F",1972,2851
"F",1973,2733
"F",1974,2765
"F",1975,2671
"F",1976,2692
"F",1977,2763
"F",1978,2621
"F",1979,2712
"F",1980,2719
"F",1981,2710
"F",1982,2766
"F",1983,2877
"F",1984,2835
"F",1985,2753
"F",1986,2744
"F",1987,2828
"F",1988,2876
"F",1989,2933
"F",1990,2791
"F",1991,2412
"F",1992,2227
"F",1993,1828
"F",1994,1732
"F",1995,1646
"F",1996,1541
"F",1997,1511
"F",1998,1411
"F",1999,1372
"F",2000,1247
"F",2001,478
"F",2002,149
"F",2003,93
"F",2004,21
"F",2005,1
"F",2006,1
"M",1907,1
"M",1908,1
"M",1910,1
"M",1911,1
"M",1913,3
"M",1914,2
"M",1915,5
"M",1916,1
"M",1917,1
"M",1918,11
"M",1919,7
"M",1920,5
"M",1921,18
"M",1922,30
"M",1923,39
"M",1924,30
"M",1925,49
"M",1926,55
"M",1927,58
"M",1928,82
"M",1929,109
"M",1930,143
"M",1931,147
"M",1932,147
"M",1933,181
"M",1934,179
"M",1935,212
"M",1936,278
"M",1937,306
"M",1938,320
"M",1939,353
"M",1940,389
"M",1941,488
"M",1942,479
"M",1943,446
"M",1944,445
"M",1945,435
"M",1946,585
"M",1947,666
"M",1948,682
"M",1949,761
"M",1950,754
"M",1951,823
"M",1952,816
"M",1953,836
"M",1954,942
"M",1955,975
"M",1956,932
"M",1957,1020
"M",1958,1013
"M",1959,1097
"M",1960,1154
"M",1961,1153
"M",1962,1153
"M",1963,1202
"M",1964,1258
"M",1965,1198
"M",1966,1276
"M",1967,1200
"M",1968,1351
"M",1969,1382
"M",1970,1526
"M",1971,1527
"M",1972,1457
"M",1973,1413
"M",1974,1446
"M",1975,1483
"M",1976,1572
"M",1977,1500
"M",1978,1515
"M",1979,1526
"M",1980,1573
"M",1981,1619
"M",1982,1594
"M",1983,1731
"M",1984,1677
"M",1985,1707
"M",1986,1705
"M",1987,1969
"M",1988,2014
"M",1989,1891
"M",1990,1734
"M",1991,1434
"M",1992,1334
"M",1993,1080
"M",1994,956
"M",1995,900
"M",1996,836
"M",1997,775
"M",1998,698
"M",1999,669
"M",2000,601
"M",2001,186
"M",2002,54
"M",2003,37
"M",2004,8
"M",2005,3
